,Name,Rating,Date,Content,score,sentiment
253,The Vue,4.3,"Posted on October 21, 2022 by Alyssa",Boutique development good for singles and couples who like privacy. Not many facilities for those with kids.,0.6597,Positive
254,Varsity Park Condominium,5.0,"Posted on October 21, 2022 by  ",I have viewed all condos around the area and Varsity Park is the best by far. perfect place for families with kids. Close proximity to best international schools UWCSEA and...,0.9201,Positive
255,Wilkie Studio,1.5,"Posted on October 21, 2022 by  ",Major issues with ventilation. Only 1 small window can be opened in each of the 3 rooms. The view faces the opposite block and a retaining wall that backs into the condo. If you...,-0.4767,Negative
256,High Park Residences,4.3,"Posted on October 18, 2022 by Steven Lau","Cozy and amicable environment.
Greenary gardena and large swimming pool.",0.0,Neutral
257,One Balmoral,0.5,"Posted on October 18, 2022 by Steph Tan","Rent here for a 2 bed room unit. It definitely looks posh from the outside but when you stay there it worst. Pest issues, rats, mosquitoes, etc. Furnishing are poor quality. If...",-0.8735,Negative
258,Rich Mansions,1.2,"Posted on October 18, 2022 by Steph Tan","Only saving grace is the units are bigger, and near top schools.Pretty old, rundown, upkeep not that great even though they repainted the building. Limited carpark lots for...",-0.1516,Negative
259,Savannah Condopark,4.3,"Posted on October 18, 2022 by 凯峰 陈",Quiet a peaceful place,0.4939,Positive
260,Kew Green,1.2,"Posted on October 18, 2022 by Ah Quek Choo","Stayed here for many years, some years back. Many units here have bad water leaks from the roof or from neighbors roof that is impossible to rectify. The walls and roof are...",-0.5423,Negative
261,The Sixth Avenue Residences,0.0,"Posted on October 17, 2022 by Fransiska Tan","I have seen some review that this condo is not kid friendly which make me checking it our myself these few days. On Sunday evening, kids are happily splashing away in the pool....",0.2434,Positive
262,Laurel Tree,3.3,"Posted on October 17, 2022 by  ",It is efficient in space layout despite small in sqf. Feels very exclusive due to 70 units only. If you like to come home to a quiet place this is most appropriate!,0.7495,Positive
263,Neem Tree,5.0,"Posted on October 17, 2022 by  ",This is an ideal place for families looking at a peaceful and quiet living environment that is yet having connectivity to eateries and most areas in town.,0.765,Positive
264,Parc Vera,5.0,"Posted on October 17, 2022 by Richard Hoo","When defu mrt is up, it will be superb!",0.6588,Positive
265,Ascentia Sky,0.0,"Posted on October 16, 2022 by Andrew P","Beware even as a renter here, facilities are very old. Gym equipment not even working and common areas are almost not useable. The worst part is the management, they will not...",0.5096,Positive
266,Icon,2.8,"Posted on October 14, 2022 by Clemens Valiente",pool has become very murky recently ever since the new management has taken over. the hot tubs are out of order half the time,0.0,Neutral
267,Robin Residences,4.3,"Posted on October 14, 2022 by  ","definitely worth visiting, very convenient location and cozy living.",0.5574,Positive
268,Mutiara View,2.8,"Posted on October 12, 2022 by  ","Convenient location , quiet and safe neighborhood. Small pool and small common areas not much space for kids to play. Management is a pain and not easy to deal with.",-0.1043,Negative
269,Aquene,5.0,"Posted on October 12, 2022 by YC LIU",Worth the investment,0.2263,Positive
270,Calarasi,4.0,"Posted on October 12, 2022 by  ","Wonderful transport links , a great place to stay in.",0.8316,Positive
271,Robin Residences,5.0,"Posted on October 11, 2022 by QINGQING LIU",Good location and quiet place! Really like the cozy feeling.,0.7569,Positive
272,The Lanai,3.3,"Posted on October 11, 2022 by Lynn Yeo","A very tranquil place to stay in, with a very nice balcony view facing the swimming pool. One of the newest condominiums in Hillview. Both the exterior and interior of the...",0.5553,Positive
273,Flamingo Valley,4.7,"Posted on October 11, 2022 by  ","Very nice to live,very quite,feels like in resort
Full facilities condo",0.6801,Positive
274,Buckley 18,5.0,"Posted on October 11, 2022 by  ","Luxury, Spacious and Open Design",0.0,Neutral
275,The Lanai,3.3,"Posted on October 10, 2022 by Chorwah Yeo","Relatively  a much newer condominium in hillview  area. Higher end interiors materials used by developer. Due to it  999 years least hold status, it is recommended to buy  for...",0.2023,Positive
276,Carissa Park Condo,0.0,"Posted on October 10, 2022 by Angie Marshall","Being first time buyer, could someone please enlighten us if this is a safe location to buy? After reading the review about ''Murder News'' we are concerned.",0.4215,Positive
277,Adam Park Condominium,5.0,"Posted on October  9, 2022 by AH Lee",Within 1 km of RGPS and NYPS!,0.0,Neutral
278,Bellewaters,5.0,"Posted on October  8, 2022 by cody sim","One of the bigger sized project, nice landscape",0.4215,Positive
279,Robin Residences,5.0,"Posted on October  8, 2022 by Yang Bo","This condo probably has one of the best locations in CCR, with botanic garden and orchard road nearby, and very good schools within 1KM. The Stevens interchange is 5 min away by...",0.8122,Positive
280,Laurel Tree,0.0,"Posted on October  6, 2022 by john gomez","Convenient, comfortable, quality accessories, perfect for 2.",0.7906,Positive
281,The Merlot,3.0,"Posted on October  6, 2022 by Jie Chen","Near a few MRT stations for three lines, easy to access CTE",0.4404,Positive
282,Laurel Tree,3.8,"Posted on October  5, 2022 by ling ng",A nice cosy place,0.4215,Positive
283,Elias Green,0.0,"Posted on October  5, 2022 by Neha",I hv been to this condo few times. Houses are big but commuting is a big hassle with no bus stop nearby. Residents are at the mercy of condo shuttle. No wonder prices are way...,-0.3291,Negative
284,The Hillier,4.7,"Posted on October  5, 2022 by Kelvyn Lim 凯文","A mixed development with restaurants, supermarket and yet quiet and peaceful stay.",0.4939,Positive
285,Avenue South Residence,5.0,"Posted on October  5, 2022 by candice ang",Nice sea view with excellent location,0.7579,Positive
286,Laurel Tree,3.7,"Posted on October  4, 2022 by  ","Although this condo was delayed due to the original developer problems, things are getting better and there are improvements to common areas and the condo facilities. The...",0.4404,Positive
287,Laurel Tree,5.0,"Posted on October  4, 2022 by Henry Yap","Quiet and peaceful, yet a convenient location, near to local amenities and nature reserve. Excellent location for working adults, families, students, etc. with adequate...",0.8316,Positive
288,Laurel Tree,5.0,"Posted on October  4, 2022 by Wxwb","Small pool, quiet place. Not many ppl crowded in the pool. One bedroom unit just nice for 2pax. Lovely balcony noce for dining area, and nice chill place to sit down and enjoy...",0.9118,Positive
289,Laurel Tree,5.0,"Posted on October  4, 2022 by  ",Great for individuals and small families who love the natural and prefers a quiet environment. Those units facing the pool have a great hill of the natural reserve!,0.9565,Positive
290,Laurel Tree,5.0,"Posted on October  4, 2022 by 108jkc","Great value, central location, close to greenery",0.7579,Positive
291,The Shore Residences,5.0,"Posted on October  4, 2022 by  ",There are many function rooms and outdoor activities area to hold events.,0.0,Neutral
292,Hillington Green,0.3,"Posted on October  4, 2022 by Dowon Kim","Nice landscape architecture, good swimming pools. But very inconvenient condo for car park, car wash, tennis court. Parking space is too narrow. Car wash is not provided for the...",-0.1753,Negative
293,The Topiary,4.2,"Posted on October  4, 2022 by  ","Big swimming pool with kids pools at the side. Nice sky gardens with jazcuzzi and steam room. Nearby bus stops which lead to Nex/Serangoon mrt, malls like Greenwich and Seletar...",0.5719,Positive
294,Ceylon Court,0.7,"Posted on October  3, 2022 by Nyein Ong",It’s a very old estate that’s poorly maintained and has no security whatsoever. Gate lock is broken and carpark is dingy with access left open most days. The one consolation...,-0.6293,Negative
295,Citylights,2.8,"Posted on October  3, 2022 by Hugues Pigné","The Condo has great facilities but the management seems to make it difficult to use them  with random or very long work. The landlord of this unit is very dishonest, I would...",-0.8014,Negative
296,Cardiff Residence,4.2,"Posted on October  2, 2022 by Rae Y","I've been living in a 1-bedroom unit for 2 years. It is a nice, cosy little haven for singles. The condo manager is a helpful guy who will attend to your concerns. I like the...",0.7964,Positive
297,Esta Ruby,1.7,"Posted on October  1, 2022 by  ",Accessibility is very good.   It is hard to come by taxi  The own place can be exposed by elevator repairman easily without any notice beforehand due to lack of security,0.6115,Positive
298,351 Tampines Street 33,0.0,"Posted on October  1, 2022 by Ferhan Feroze","Beautiful estate with Primary & Secondary School as well amenities such as Coffee Bean, MacDonald, Subway, Kopitiam, Fitness Centre, Wet market, and Clinics all around the area.",0.7964,Positive
299,The Mayfair,1.7,"Posted on September 30, 2022 by David Kopp","Ok, so the project is very old, private lift is not advantage its actually pretty annoying, servicing it every month. Management for past three years didn't do much more then...",-0.0618,Negative
300,Northshore Bungalows,1.3,"Posted on September 29, 2022 by Cat Lover",Noisy sports cars are affecting serenity of the estate. It is very noisy for units near parking lots. Sports hall is very dusty and dirty. Unlicensed vendors are also working in...,-0.7056,Negative
301,Duchess Crest,3.3,"Posted on September 28, 2022 by James Rogers","Lived for 2yrs.
- Wonderful Condo
- Lovely large Units due to the age of the property
- Very peaceful at night, you can really hear next to nothing
- Nice community with...",0.8645,Positive
302,Park Natura,1.5,"Posted on September 28, 2022 by James Rogers","Lived here for 4yrs.  At first a nice Condo, but major drawbacks to be aware of:
1) Noise..!!  Units facing the main Lap pool are in an Echo chamber.  You can see & hear...",0.3578,Positive
303,Baywater,0.0,"Posted on September 28, 2022 by g m kwang","The new condo pricing already reached S$2,000 psf and it is almost out of reach for those family who plan to upgrade from HDB to private estate.  Fortunately condo like Baywater...",0.4091,Positive
304,Tropicana Condominium,1.5,"Posted on September 28, 2022 by  ",Toxic MCST helmed by the same chairman and his friend for years and refused to step down for others to lead. They hindered the participation of new residents into the council....,0.25,Positive
305,Regent Grove,5.0,"Posted on September 27, 2022 by peterng388 ng",Very nice peaceful environment full of nice greenery,0.8545,Positive
306,Kew Gate,5.0,"Posted on September 26, 2022 by Nadia",Gorgeous residential place. Very well maintained with a lovely thriving community. Nestled in a beautiful neighbourhood with friendly residents.,0.9538,Positive
307,Robin Residences,0.2,"Posted on September 26, 2022 by Nadia",City living and tiny space,0.0,Neutral
308,Astoria Park,3.5,"Posted on September 26, 2022 by alex goh",Cosy,0.0,Neutral
309,Crescendo Building,4.2,"Posted on September 25, 2022 by Jonathan Ng","The price of this place is way under-value. Get it while it is still relatively low. New MRT coming in soon. Walk to bakeries, groceries, bars, restaurants, clinics, and East...",-0.2732,Negative
310,Buckley Classique,4.8,"Posted on September 25, 2022 by Beth Black","Buckley Classique was not the first property we rented in Singapore, but definitely the best so far. It's in the heart of the city yet it's very quiet. It's great for our family...",0.9756,Positive
311,Urban Suites @ Hullet Road,4.5,"Posted on September 25, 2022 by Jonathan Kuah","Located smack in the middle of one of the most prestigious retail streets in the world, The property offers convenience, energy and buzz but yet offers a lush green surrounding...",0.1406,Positive
312,The Clement Canopy,4.5,"Posted on September 23, 2022 by Li Juan Shang","I have lived there for 3 years and I really enjoyed all the facilities in the condo. The quiet study room, the spacious and cosy function plus dining room. The 50m tree top...",0.659,Positive
313,The Clement Canopy,0.8,"Posted on September 23, 2022 by John Lum","Noisy expressway, school and construction nearby. Can forget about enjoying the facilities, small compound, they just squeeze all in to market it as full condo facilities. Also...",0.2023,Positive
314,Peppermint Grove,5.0,"Posted on September 22, 2022 by Melissa Goh","Its central location with key amenities makes it an ideal place for people of all ages - Basically you can find everything you need in this area!
within 1km to ACS (Barker),...",0.5707,Positive
315,The Bayshore,4.8,"Posted on September 22, 2022 by Chakshu Raina","+ full condo facilities including a golf driving range, 4 tennis courts, a dog run park, and a snooker room (pool, gym, bbq, etc goes without saying)
+ Of the 3 condos on the...",0.0,Neutral
316,Oxford Suites,4.5,"Posted on September 21, 2022 by M K","Will start with Cons: As this is an apartment and not a full condo, it lacks in facilities like Olympic sized pool and tennis / basketball court. It does have a exercise gym....",0.3612,Positive
317,The Amery,5.0,"Posted on September 18, 2022 by YC LIU",Over all good value,0.6486,Positive
318,Azalea Park Condo,3.3,"Posted on September 18, 2022 by  ",Spacious. Good layout and a affordable price.,0.4404,Positive
319,Seletar Springs Condominium,4.8,"Posted on September 17, 2022 by WHO WHO",We have been looking around for about 3 year during pandemic and we have recently came across this place. Wow we have really fell in love with this resort look condo that hard...,0.8344,Positive
320,Seletar Springs Condominium,4.0,"Posted on September 17, 2022 by WHO WHO",Super huge master bedroom which not commonly find. Balcony with super open unblocked pool view with resort feels very comfortable and Relaxing,0.9528,Positive
321,Evergreen Park,2.2,"Posted on September 16, 2022 by  ",Have been staying here and I can say that the management has failed us owners time and time again. Paying such high maintenance fees only for these fellas to ask for more and...,-0.5106,Negative
322,Signature Crest,2.0,"Posted on September 16, 2022 by Ken Cheah",Noisy during the day due to construction sites nearby & and the condo is near Paya Lebar Military Airbase flight path. So you can hear loud airplanes landing multiple times a...,-0.1779,Negative
323,Parc Esta,5.0,"Posted on September 16, 2022 by Matthew Cheung","it's really close to the city and the major shopping areas (e.g PLQ) and old/featured areas like Katong and Joo Chiat.  I like those apartments facing south, having unblocked...",0.6124,Positive
324,Eight Riversuites,4.7,"Posted on September 14, 2022 by Keith Ng","Very satisfied with the purchase at Eight Riversuites.  Full facilities including 2 pools, elevated gym and even tennis court at low monthly maintenance fees.  Breezy...",0.2484,Positive
325,Grande Vista,5.0,"Posted on September 12, 2022 by  ","This is arguably the quietest, most peaceful place i have ever visited.",0.3597,Positive
326,Citylights,2.0,"Posted on September 12, 2022 by  ","If you consider living in the Citylights condo, note few things that agents will not tell you:
- ICA construction site - noise, dust
- Kallang Gasworks remediation site -...",0.0,Neutral
327,Trilive,5.0,"Posted on September 12, 2022 by  ",Many places to lounge. Great pools and exercise corner / play area; Hougang river court newly built; responsible management,0.8316,Positive
328,The Florentine,5.0,"Posted on September 10, 2022 by Patrick Chua",Great and quiet environment for homestay among the landed enclave.,0.6249,Positive
329,Corals at Keppel Bay,5.0,"Posted on September 10, 2022 by Barry Lin",Great design on living room and dining room. Excellent interior decorations.  Nice common area and facilities . Close to Vivo City for transportation and amenities..,0.891,Positive
330,Pullman Residences,5.0,"Posted on September 10, 2022 by Sufen Wang",Great ! I like the branding for this condo . I believe it provide a brand differentiation in the future if I decided to sell it in the resale market with the rest of other condo...,0.784,Positive
331,Pullman Residences,5.0,"Posted on September 10, 2022 by Sufen Wang","Great ! One of the few hotel brand freehold  condo in spore , reasonable entry price compared to the rest of hotel branded condo . Newton have alot condos , the branding is...",0.7263,Positive
332,Westwood Residences EC,4.2,"Posted on September  9, 2022 by Keik Wei Lee",Decent size Condominium with full condo facilities. Friendly neighbors. Awesome MCST!,0.8221,Positive
333,Westwood Residences EC,4.2,"Posted on September  9, 2022 by Anonymous",Peaceful and quiet area. Near to neighborhood shopping mall and transport provided to Jurong point.,0.4939,Positive
334,9 Jalan Kukoh,0.0,"Posted on September  8, 2022 by Lee Tai Heng",is not convenient travel-wise,0.0,Neutral
335,Westwood Residences EC,1.8,"Posted on September  6, 2022 by  ","Whole development has water leakage, floor popping for the internal units etc. Walls and ceiling are so thin that you can hear which room your upstairs neighbour is walking to...",0.0,Neutral
336,Westwood Residences EC,2.3,"Posted on September  6, 2022 by  ","Pros - New management team is efficient and helpful, has group buys, quiet, lots of greenery, common areas are clean majority of the time, has a small velodrome for kids, close...",0.8074,Positive
337,24 One Residences,5.0,"Posted on September  6, 2022 by  ",This property is well maintained and the residents are cohesive. The tranquility is really attractive.,0.796,Positive
338,Woodlands Horizon,1.5,"Posted on September  5, 2022 by John Molesse","Bins in common area are always full, management complain to everyone dont put trash outside bin

... Its always full!  How??? Management is constantly trying to stop all of us...",-0.6738,Negative
339,Sims Urban Oasis,5.0,"Posted on September  5, 2022 by J J","As the title says, the location is really quite good, about 4 minutes from the train station. Maintenance is pretty decent save. Just one stop from Paya Lebar where you have a...",0.8258,Positive
340,Tropical Spring,4.3,"Posted on September  4, 2022 by reshmy pillay","Very accessible condo near mrt. Near the train station and daily conveniences, yet quiet.",0.0,Neutral
341,Riversails,5.0,"Posted on September  4, 2022 by  ",Stayed in premium block for 5 years and i love it very much ! good quality finishing and good design layout of the unit. compared to the other condos i stayed in the past 20...,0.8251,Positive
342,Rochelle At Newton,4.2,"Posted on September  3, 2022 by Chaw Ming Quek","Still like it here after many years. 

Location - near Newton MRT. All buses bring you there in 1 bus-stop. Near many top schools at Bukit Timah
Amenities - United square and...",0.7269,Positive
343,The Cape,4.2,"Posted on September  2, 2022 by Jackie Tan",Near to amenities .,0.0,Neutral
344,Ivory,0.2,"Posted on September  2, 2022 by Mayki GC","Condo is poorly maintained. MA is not really responsive for requests - to fix broken things in the condo, booking of BBQ Pit, request for car decal etc. So frustrating. The...",-0.8469,Negative
345,One Shenton,2.5,"Posted on September  2, 2022 by Daniel Avnon",I rented a unit at 1 Shenton and had to move out early and stay in a hotel just to get some sleep (costing me a fortune due) as this place can be extremely noisy at night until...,-0.2484,Negative
346,One Eighties Residences,5.0,"Posted on September  2, 2022 by David Lim 林伟达",Good quality fixtures and building materials,0.4404,Positive
347,Paya Lebar Residences,4.0,"Posted on September  2, 2022 by rick yin","3 Shopping mall just at door step, and 2 MRT line, within 2-3 mins walk, super convenient location ,
just image to walk to cinema in the late night and walking back . super cool.",0.8779,Positive
348,Lloyd Mansion,5.0,"Posted on September  1, 2022 by AZ C",Malls are located no more than 7 mins walk. NTUC near by. wide range of option for food (ie S$3 cai fan to S$300 per pax omakase). Quite development away from busy roads. Huge...,0.34,Positive
349,Savannah Condopark,5.0,"Posted on August 31, 2022 by Praveer Khare",It is peaceful and quiet and is close to necessary amenities like a mall and hospital.,0.6908,Positive
350,The Lumos,2.8,"Posted on August 30, 2022 by Jay C","First the good
1) Excellent location, close to both Orchard and Great World City. Very well connected by MRT and Buses
2) Great value for rental (if you can get it)

But...",0.8688,Positive
351,Ivory,1.2,"Posted on August 30, 2022 by Toy Story","Nearby Grocery stores, variety of food choices, TCM, massage services. Too many cafes popping up. Noisy and loud KTV music. Poor intercom buzzer that may not connect directly to...",-0.5859,Negative
352,The Water Edge @ Geylang,0.8,"Posted on August 29, 2022 by Joe Quan","The condo facilities have not been maintained properly and are in bad condition. The buildings construction was not properly done and some features, such as the underground...",-0.5423,Negative
353,Eastbay,4.3,"Posted on August 28, 2022 by  ",A hidden gem as far as boutique developments come by; units are space-efficient and the building is reasonably maintained. The small gym may be forgiven once you notice the...,0.3818,Positive
354,Caribbean at Keppel Bay,5.0,"Posted on August 28, 2022 by  ",We have been living here for a year. One of the rare condos with an amazing waterfront at your doorstep. Waterfront area is also privately owned by Keppel and very well...,0.7346,Positive
355,Skysuites @ Anson,1.0,"Posted on August 28, 2022 by fydr 336","Poor sound proofing, Near several construction sites super noisy, oso can hear forklift noise from nearby container terminal. worse is LL who is money face refuse to allow...",-0.5106,Negative
356,Skysuites @ Anson,0.7,"Posted on August 28, 2022 by fydr 336","Poor sound proofing, surrounding several construction projects going on",-0.4767,Negative
357,The Linear,3.7,"Posted on August 26, 2022 by jocelyn lee",Super convenient.  Units facing the canal too comfortable to live. Stay here for 15 yrs.  Enjoy the bird chirping  in the morning/afternoon. Relax. Like this condo very much.,0.9413,Positive
358,77 @ East Coast,5.0,"Posted on August 26, 2022 by B *",Impressive and definitely worth it!,0.8016,Positive
359,Changi Rise Condo,4.0,"Posted on August 25, 2022 by Hansi Jay",Love this place as it has a lap pool and sand pool which u couldn’t find in any other condo. Units are spacious and quality fixtures as it was done by CDL. It’s really a...,0.6369,Positive
360,Parc Riviera,4.0,"Posted on August 25, 2022 by Dancing Nachos","We shifted here in April 2022. The amenities are excellent, with two large sized swimming pools, a generous gum, various decks, bbq pits, basketball courts etc. Our unit is...",0.7906,Positive
361,,0.8,"Posted on August 24, 2022 by ","First off, the unit we visited was small despite it being a 2 storey Penthouse. You can immediately feel the crampness once you step in. Although it did allow for queen size...",0.2263,Positive
362,Stirling Residences,5.0,"Posted on August 23, 2022 by J C","The location is a gem! So near to MRT yet it's very quiet and calm the minute you turn into Stirling Road.  HDB coffee house and supermarket are just a few minutes walk away,...",0.4321,Positive
363,The Hillford,1.5,"Posted on August 23, 2022 by Shen Yueli",Concierge and management office creates more problem than helping you resolve the problem.  Requested for an additional access card and there was no reply or follow up from them...,-0.1851,Negative
364,The Grandhill,2.7,"Posted on August 22, 2022 by ys fong","not much of a complain but feel that there shd be a walkway down for easy access to haw par mrt.  jus like neighbour horizon residences.
Can save at least 10 mins of walk if...",0.8922,Positive
365,Queens Peak,5.0,"Posted on August 21, 2022 by Maya Mihova",Happy to have relocated here,0.5719,Positive
366,Oxley Edge,0.0,"Posted on August 21, 2022 by KokEng Ng","One of the most value for money freehold properties at D9, given current property prices. Good for retirees, singles, no kid couples, couples with 1 young child, expats",0.624,Positive
367,Holland 100,1.3,"Posted on August 21, 2022 by KL Loh",Low rise condo with a small pool and a mini gym. Maintenance is extremely bad and need to remind and send email several times to fix things. Reluctant to change the spoiled...,-0.7841,Negative
368,18 Woodsville,5.0,"Posted on August 19, 2022 by Junn Chua",Great for investment!,0.6588,Positive
369,Canberra Residences,4.0,"Posted on August 16, 2022 by Saw Guan Soo","Resort like condominium, recently refurbished and repainted the entire estate",0.3612,Positive
370,Sant Ritz,5.0,"Posted on August 16, 2022 by Denise Low",Great location with good schools and amenities around. Estate is like renaissance resort style. I am a resident.,0.8591,Positive
371,Skysuites @ Anson,5.0,"Posted on August 16, 2022 by Ngui","Enjoy my stay at this development at quiet unit. Nice poolview. Very convenience location,there is Tanjung Pagar MRT station, local and international cuisines to choose,...",0.7184,Positive
372,Laurel Tree,3.7,"Posted on August 16, 2022 by Adie Pratama Putra","Decent size condo for singles/couples. Enjoyed the unblocked view and tranquility. Quiet and peaceful, yet a convenient place, near to amenities and nature reserve.",0.8519,Positive
373,Skysuites @ Anson,5.0,"Posted on August 16, 2022 by Ngui","I enjoy the quietness in my apartment which facing beautiful pool, QUIET,  there's small balcony,",0.7964,Positive
374,Marina One Residences,4.0,"Posted on August 14, 2022 by Gwyneth Marcelo","Building is beautiful but they are constantly fixing things - unusual for a new building, I would think. The apartments have good space, but the electrical wiring has failed us...",0.2144,Positive
375,Shelford Green,3.8,"Posted on August 13, 2022 by Dora Tan","I've lived here for 10 years and I can honestly say this is/will be the best property I'll ever live in. Sited on top of a hill, the view from my penthouse is spectacular. You'd...",0.8402,Positive
376,City Square Residences,0.7,"Posted on August 12, 2022 by Lionel Bruchez","We lived in this condo between 2020-2022. Back then, we were hesitant about renting this flat as the condo had poor reviews (below 3 stars overall rating) with ex tenants...",-0.6249,Negative
377,City Square Residences,2.2,"Posted on August 12, 2022 by Sannie Shek","Bad management. Poor security service. Many pigeons on the balcony. 

Size is very decent and super convenient.",-0.0094,Neutral
378,Verdure @ Holland Park,1.2,"Posted on August 11, 2022 by  ",The rain shower in the pool is making a huge noise throughout the afternoon. It is so loud you can hardly use the pool or sit on the terrace in the afternoon. As the windows...,0.3182,Positive
379,The Esparis,4.5,"Posted on August 11, 2022 by Li Harry",cozy living,0.0,Neutral
380,Parkview Apartments,3.7,"Posted on August 11, 2022 by Dana Esperanto",We did a full renovation and happy where we are. Facing the greenery is a big plus despite facing the main road. Trees does it magic. You will notice yellow birds living in...,0.5719,Positive
381,The Cathay Residences,0.0,"Posted on August  9, 2022 by Ranjit Jose","The building has issues with acoustics - noise from around (neighbors/traffic) always seems to be there. It went to the extent, we had to move out given the crowd is back on the...",0.0,Neutral
382,Mutiara View,4.5,"Posted on August  9, 2022 by K Koh","The location is fantastic being a short walk to Great World City and Valley Point. 
It is on a quiet cul de sac. Was looking quite aged, but recent renovations have upgraded...",0.5927,Positive
383,Harbour View Gardens,0.2,"Posted on August  9, 2022 by Iwan S","Such a bad quality finishing... noisy
No management office in the building
Many issue in the projects unsolved",-0.7506,Negative
384,Parkshore,2.2,"Posted on August  9, 2022 by Ranjit Jose","This condo used to be really good but in the last few years (since COVID/2020), this has taken a massive downturn in terms of quality/management/maintenance. Appears all good on...",0.7137,Positive
385,V on Shenton,4.7,"Posted on August  9, 2022 by Ranjit Jose","This is right in the middle of the busiest roads, busiest areas in Singapore. Felt suffocated. 2 bedroom apartment has a hotel feel and not a home feel. Suited only for...",0.0,Neutral
386,Stars of Kovan,5.0,"Posted on August  9, 2022 by KM Goh","Stars of kovan earns its name by having located in the heart of kovan, blessed with great transport connectivity and many good food options. Undoubtedly, Stars of kovan is a...",0.9442,Positive
387,Serenity Park,4.3,"Posted on August  8, 2022 by Vincent Ang",This is a hidden gem,0.0,Neutral
388,M21 Residences,2.0,"Posted on August  7, 2022 by Winna Aw",There is something seriously wrong with the condo MC. The sauna has been under repair for more than 8 years and there is water ponding and mold/ fungus at the pool level.,-0.5859,Negative
389,Tanjong Ria Condominium,4.2,"Posted on August  7, 2022 by Huey Tan","Its a very nice property, and the biggest USP is its flats interior with such nice views of Sea and ship all day, haha. 
Its very quiet and the atmosphere for kids is so nice.",0.9102,Positive
390,Optima @ Tanah Merah,3.2,"Posted on August  7, 2022 by Huey Tan","Liked the infra from interior, and the fact that convenience stores are all closeby. Noise from MRT depends on which side flat you are living in, but overall cannot complain...",0.5522,Positive
391,Bedok Residences,2.5,"Posted on August  7, 2022 by Vincent Tan","A great location with amenities at door step. However, the huge turnoff & deal breaker for me was the security guard at carpark entrance when I drove in on 6 Aug 2022 at 2pm. He...",0.8316,Positive
392,Katong Gardens,3.8,"Posted on August  6, 2022 by Christine Jagan","Near bus stops,  malls,  primary schools.  A lot of food stalls in the area,  restaurant, bars and coffee shops. 24hrs Joo Chiat Giant is less than 10 minutes walk. Small garden...",-0.1531,Negative
393,Kensington Square,2.0,"Posted on August  6, 2022 by Ashley Kee Ashley Kee","After living here for three years, I can say that Kensington is not some place I'd reccommend. The facilities and general apartments are very cheap. Though it's still a...",0.0,Neutral
394,Edelweiss Park Condo,3.7,"Posted on August  6, 2022 by Mark Jack","Every household  has 2 parking lots, there are plentiful of parking lots for visitors to park. In term of nearby amenities, it is one of the closest development to Parc Komo....",0.0,Neutral
395,Edelweiss Park Condo,3.7,"Posted on August  6, 2022 by Russell NG","Edelweiss Park is just 4-5 minutes walk from it’s main gate or side gate to the upcoming Komo Shopees with pre-leased tenants including: NTUC FairPrice Finest, White Lodge...",0.0,Neutral
396,NassimVille,3.7,"Posted on August  5, 2022 by F McKeown","We’ve lived here for the past two years as a family (8,6 and 1yo children). Quiet neighborhood with lots of greenery. A few families here with a WhatsApp group to communicate...",0.0,Neutral
397,Holland 100,2.7,"Posted on August  5, 2022 by May Lau",Been living in this property for more than 6 years now. The former management was wonderful to deal with but since Melvin left things have been going downhill. New management...,0.3291,Positive
398,Citylights,3.2,"Posted on August  4, 2022 by Saralie Pincini",Spectacular unblocked water views from some units and lovely twinkly lights at night too. Location almost on the top of Lavender MRT and with a choice of bus stops that will...,0.577,Positive
399,The Axis,1.5,"Posted on August  3, 2022 by Allen Lee","the western door broked for at least 4 weeks but no one fix it, the mangement team's phone is always busy",-0.4215,Negative
400,Laurel Tree,3.3,"Posted on August  3, 2022 by  ","As this is a small project, it’s understandable that there is no security post. Residents have access via the access card, and visitors can make use of the intercom to...",-0.2584,Negative
401,Laurel Tree,3.7,"Posted on August  3, 2022 by  ","Thankfully a reputable developer took over this project and completed it in good order. Though some of the fixings and carpentry were done years ago, the new...",0.6908,Positive
402,Laurel Tree,3.7,"Posted on August  3, 2022 by  ","Thankfully a reputable developer took over this project and completed it in good order. Though some of the fixings and carpentry were done years ago, the new...",0.6908,Positive
403,Neptune Court,1.8,"Posted on August  2, 2022 by kj tan","Rented it few yrs ago and love the unblocked views from Blk 1! Family loved it. So rare to get such good unit, big rooms and space in Singapore in prime location. The asking...",0.906,Positive
404,Aquarius By The Park,0.0,"Posted on August  1, 2022 by Ken Ken",Not reccomended if u like quiet environment especially units facing the pool.and playground. MCST have done nothing after years of complain by residents. Take a look of the...,0.0,Neutral
405,Blossom Residences,3.8,"Posted on August  1, 2022 by R G",I love this condo; we have been staying here for a few years and still can't get over the unblocked greenery view.  Friendly management and very friendly residents overall have...,0.8977,Positive
406,Highline Residences,2.0,"Posted on July 30, 2022 by Greg Whillis","The condo is nice. Location is great. The units are a little small, a 2 bedder is really one plus study. Elevators are slow, and for some reason one doesn’t link up with the...",0.7845,Positive
407,Parc Olympia,5.0,"Posted on July 30, 2022 by zen san",Beautiful landscaping and water features,0.5994,Positive
